,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Plettenberg Bay,39,ZA,1574159103,58,-34.05,23.37,65.17,14.07
1,Natal,75,BR,1574159031,69,-5.81,-35.21,80.6,10.29
2,Lebu,40,ET,1574159103,43,8.96,38.73,71.6,11.41
3,Weston,90,US,1574159103,90,41.2,-73.38,43.0,6.51
4,Kavaratti,100,IN,1574159103,66,10.57,72.64,83.8,3.31
5,Jamestown,94,AU,1574159103,13,-33.21,138.6,85.96,4.52
6,Codrington,0,AU,1574159103,69,-28.95,153.24,75.2,12.75
7,Bredasdorp,35,ZA,1574159103,35,-34.53,20.04,73.4,11.41
8,Bell Ville,100,AR,1574159103,90,-32.63,-62.69,66.99,1.01
9,Lethem,0,GY,1574159103,83,3.38,-59.8,75.45,7.92
10,Vieste,75,IT,1574159103,62,41.88,16.18,63.0,11.41
11,Torbay,90,CA,1574159103,93,47.66,-52.73,39.0,21.92
12,Littleton,75,US,1574158923,56,39.61,-105.02,44.01,5.82
13,Beamsville,90,CA,1574159097,100,43.17,-79.48,37.0,5.82
14,Cape Town,20,ZA,1574159048,42,-33.93,18.42,69.01,16.11
15,Umarkot,77,PK,1574159103,27,25.37,69.74,84.47,1.52
16,Ravar,86,IR,1574159103,29,31.27,56.81,62.92,6.8
17,Zharkent,58,KZ,1574159103,31,44.17,80.0,50.63,7.47
18,Mar del Plata,100,AR,1574159103,46,-46.43,-67.52,59.47,21.41
19,Iracemapolis,0,BR,1574159104,77,-22.58,-47.52,68.0,13.87
20,Migori,24,KE,1574159104,66,-1.07,34.47,76.75,3.02
21,Rio Grande,0,BR,1574158810,87,-32.03,-52.1,71.01,11.1
22,Constitucion,67,MX,1574159104,85,23.99,-104.67,53.01,8.99
23,Sindou,21,BF,1574159104,27,10.66,-5.16,83.8,4.21
24,Xuddur,100,SO,1574159104,56,4.12,43.89,86.02,16.33
25,Quatre Cocos,40,MU,1574159104,70,-20.21,57.76,84.2,8.05
26,Victoria,75,BN,1574159043,79,5.28,115.24,84.2,9.64
27,Ancud,90,CL,1574159104,100,-41.87,-73.83,50.0,12.75
28,Banikoara,0,BJ,1574159104,20,11.3,2.44,92.98,1.63
29,Bejar,100,AL,1574159104,70,40.49,19.83,54.84,7.61
30,General Pico,2,AR,1574159104,44,-35.66,-63.75,58.57,7.83
31,Chiredzi,75,ZW,1574159104,58,-21.05,31.67,87.8,8.05
32,Aguimes,75,ES,1574159104,60,27.91,-15.45,71.6,14.99
33,Urla,0,TR,1574159104,49,38.32,26.77,69.8,3.36
34,Gilbues,56,BR,1574159105,86,-9.83,-45.34,71.94,2.82
35,Saquarema,90,BR,1574159105,94,-22.93,-42.51,71.6,10.29
36,Georgetown,75,GY,1574159105,94,6.8,-58.16,77.0,2.24
37,Ceuta,97,MX,1574159105,87,23.9,-106.93,72.0,3.29
38,Clarence Town,40,AU,1574159105,25,-32.59,151.78,77.0,8.05
39,Veraval,90,FR,1574159105,75,49.65,0.71,46.0,9.17
40,Mahebourg,40,MU,1574159105,70,-20.41,57.7,84.2,8.05
41,Guider,99,CM,1574159105,28,9.93,13.94,95.0,1.12
42,Wells,40,GB,1574159038,86,51.21,-2.64,46.0,6.93
43,Vila Franca do Campo,20,PT,1574159105,67,37.72,-25.43,59.0,6.93
44,Camacha,40,PT,1574159105,77,33.08,-16.33,68.0,4.7
45,Garowe,18,SO,1574159105,52,8.41,48.48,85.3,12.19
46,Carutapera,0,BR,1574159105,79,-1.2,-46.02,81.19,9.37
47,Antofagasta,75,CL,1574159036,72,-23.65,-70.4,64.4,6.93
48,Saint-Joseph,90,FR,1574159105,87,43.56,6.97,53.01,4.92
49,Presevo,75,RS,1574159105,76,42.31,21.65,59.0,6.62
50,Ribeira Grande,40,PT,1574159105,67,38.52,-28.7,60.8,4.7
51,Misratah,0,LY,1574159091,69,32.38,15.09,66.92,5.91
52,Praia,100,BR,1574159105,88,-20.25,-43.81,68.0,1.77
53,Saint-Philippe,90,CA,1574159106,80,45.36,-73.48,30.99,5.82
54,Eyl,88,SO,1574159106,80,7.98,49.82,80.8,15.75
55,Caravelas,29,BR,1574159106,91,-17.73,-39.27,73.09,2.3
56,Abu Samrah,0,SY,1574159106,16,35.3,37.18,63.03,4.85
57,Beitbridge,71,ZA,1574159106,52,-22.21,29.99,84.81,3.38
58,Diu,77,IN,1574159106,62,20.71,70.98,81.66,13.27
59,Takoradi,20,GH,1574159057,76,4.89,-1.75,82.99,1.25
60,Adrar,0,DZ,1574159106,32,27.87,-0.29,53.6,11.41
61,Saint George,40,GR,1574159106,68,39.45,22.34,68.0,1.86
62,Kuytun,28,RU,1574159106,90,54.34,101.51,6.55,5.66
63,Sao Joao da Barra,90,BR,1574159106,100,-21.64,-41.05,73.4,13.24
64,Matara,100,BI,1574159106,76,-3.48,29.48,69.98,3.09
65,Aswan,0,EG,1574159094,30,24.09,32.9,81.54,9.24
66,Piacabucu,75,BR,1574159106,73,-10.41,-36.43,77.95,9.31
67,Boa Vista,32,BR,1574158997,88,2.82,-60.67,77.0,2.24
68,Cumra,75,TR,1574159106,100,37.57,32.77,39.2,2.24
69,Soritor,96,PE,1574159106,99,-6.14,-77.1,61.84,0.94
70,Takaungu,75,KE,1574159107,62,-3.68,39.86,87.8,5.82
71,Neuquen,87,AR,1574159107,81,-38.95,-68.06,53.6,3.98
72,Dondo,40,MZ,1574159107,55,-19.62,34.74,89.6,19.46
73,Sur,0,OM,1574159107,53,22.57,59.53,79.43,7.63
74,Barra do Garcas,100,BR,1574159107,94,-15.89,-52.26,69.3,1.01
75,Yokadouma,100,CM,1574159107,47,3.52,15.05,86.59,2.53
76,Bahia Blanca,0,AR,1574159047,39,-38.72,-62.27,57.16,12.33
77,Xai-Xai,63,MZ,1574159107,46,-25.04,33.64,93.47,9.06
78,Sambava,51,MG,1574159107,43,-14.27,50.17,91.81,6.69
79,Mazagao,75,BR,1574159107,100,-0.12,-51.29,77.0,3.36
80,Anzio,40,IT,1574159054,72,41.45,12.63,63.0,12.75
81,Seminole,1,US,1574159107,46,32.72,-102.64,41.0,3.36
82,Hillcrest Heights,90,US,1574159107,100,38.83,-76.96,46.0,5.82
83,Ambagarh Chauki,0,IN,1574159107,34,20.78,80.75,83.62,4.59
84,Humaita,20,AR,1574159107,82,-24.93,-65.37,68.0,1.28
85,Yerkoy,0,TR,1574159107,30,39.64,34.47,55.22,2.21
86,Souillac,0,FR,1574159107,93,45.6,-0.6,46.0,4.61
87,Hermanus,98,ZA,1574159107,64,-34.42,19.24,69.01,7.0
88,Buchanan,100,LR,1574159108,81,5.88,-10.05,81.5,1.77
89,Balao,99,EC,1574159108,87,-2.91,-79.82,72.18,7.29
90,Zhanaozen,51,KZ,1574159108,34,43.35,52.85,46.71,3.87
91,Huarmey,56,PE,1574159108,91,-10.07,-78.15,56.62,0.38
92,Sabha,32,LY,1574158936,26,27.03,14.43,72.39,16.51
93,Hithadhoo,5,MV,1574159108,77,-0.6,73.08,82.63,14.12
94,Hambantota,75,LK,1574159108,94,6.12,81.12,84.2,5.82
95,Nador,20,MA,1574159108,55,35.17,-2.93,60.8,8.05
96,Oriximina,87,BR,1574159108,92,-1.77,-55.87,74.37,1.63
97,Saldanha,100,PT,1574159108,79,41.42,-6.55,40.3,1.45
98,Watertown,1,US,1574159108,88,44.9,-97.12,35.01,9.17
99,Abaete,98,BR,1574159080,85,-19.16,-45.45,70.65,1.03
100,Arraial do Cabo,90,BR,1574159108,94,-22.97,-42.02,71.6,10.29
101,Luderitz,5,NA,1574159108,40,-26.65,15.16,73.4,11.41
102,Luanda,75,AO,1574159108,70,-8.83,13.24,84.2,8.05
103,Jaguey Grande,20,CU,1574159108,93,22.53,-81.13,60.8,5.82
104,San Andres,13,PH,1574159108,81,13.32,122.68,79.18,3.74
105,Bama,44,CN,1574159108,64,24.14,107.25,61.47,2.89
106,Goderich,100,CA,1574159108,93,43.74,-81.71,35.01,5.01
107,Salinopolis,24,BR,1574159108,81,-0.61,-47.36,81.45,11.23
108,Mantua,75,IT,1574159109,87,45.16,10.79,54.0,8.05
109,Port-Gentil,40,GA,1574159109,74,-0.72,8.78,86.0,11.41
110,Turbat,10,PK,1574159109,8,26.0,63.05,86.54,4.38
111,Sinnamary,32,GF,1574159109,80,5.38,-52.96,82.13,16.71
112,Vila Velha,75,BR,1574159109,78,-3.71,-38.6,86.0,18.34
113,Limulunga,6,ZM,1574159109,47,-15.13,23.15,86.88,10.33
114,Ormara,0,PK,1574159109,26,25.21,64.64,79.41,4.14
115,Itarema,87,BR,1574159109,79,-2.92,-39.92,77.86,5.21
116,Koulamoutou,21,GA,1574159109,56,-1.13,12.47,89.2,0.43
117,Gaya,20,IN,1574158995,30,24.8,85.01,82.4,9.17
118,Vasudevanallur,77,IN,1574159109,52,9.24,77.41,87.91,6.44
119,Serowe,100,BW,1574159109,69,-22.4,26.7,71.49,7.52
120,Jacareacanga,45,BR,1574159109,99,-6.22,-57.76,70.27,1.41
121,Ravenna,75,IT,1574159109,87,44.42,12.2,59.0,5.97
122,Sharjah,20,AE,1574158859,61,25.36,55.39,86.0,18.34
123,Grand-Lahou,0,CI,1574159109,74,5.24,-5.0,83.52,8.14
124,Cecina,75,IT,1574159109,87,43.31,10.52,59.0,18.34
125,Khash,100,IR,1574159109,20,28.22,61.21,68.79,8.61
126,Joshimath,9,IN,1574159110,15,30.57,79.57,55.49,6.93
127,Castro,90,CL,1574159110,100,-42.48,-73.76,50.0,12.75
128,Arlit,27,NE,1574159110,11,18.74,7.39,87.91,3.18
129,Sao Filipe,87,CV,1574159110,79,14.9,-24.5,73.22,18.23
130,Taoudenni,100,ML,1574159110,10,22.68,-3.98,64.96,5.61
131,Ponta do Sol,100,BR,1574159110,94,-20.63,-46.0,66.13,4.54
132,Johnstown,1,US,1574159110,92,40.33,-78.92,35.01,8.05
133,Manali,94,IN,1574159110,25,32.25,77.19,55.44,5.5
